gauge_id,status,n_points_window,info
01013500,OK,12510,
01022500,OK,12510,
01030500,OK,12510,
01031500,OK,12510,
01047000,OK,12510,
01052500,OK,12510,
01054200,OK,12510,
01055000,OK,12510,
01057000,OK,12510,
01073000,OK,12510,
01078000,OK,12510,
01118300,OK,12510,
01121000,OK,12510,
01123000,OK,12510,
01134500,OK,12510,
01137500,OK,12510,
01139000,OK,12510,
01139800,OK,12510,
01142500,OK,12510,
01144000,OK,12510,
01162500,OK,12510,
01169000,OK,12510,
01170100,OK,12510,
01181000,OK,12510,
01187300,OK,12510,
01195100,OK,11780,
01333000,OK,12510,
01350000,OK,12510,
01350080,OK,10319,
01350140,OK,12510,
01365000,OK,12510,
01411300,OK,12510,
01413500,OK,12510,
01414500,OK,12510,
01415000,OK,12510,
01423000,OK,12510,
01434025,OK,11415,
01435000,OK,12510,
01439500,OK,12510,
01440000,OK,12510,
01440400,OK,12510,
01451800,OK,12510,
01466500,OK,12510,
01484100,OK,12510,
01485500,OK,12510,
01486000,OK,12510,
01487000,OK,12510,
01491000,OK,12510,
01510000,OK,12510,
01516500,OK,12510,
01518862,OK,11415,
01532000,OK,12510,
01539000,OK,12510,
01542810,OK,12510,
01543000,OK,12510,
01543500,OK,12510,
01544500,OK,12510,
01545600,OK,12510,
01547700,OK,12510,
01548500,OK,12510,
01549500,OK,12510,
01550000,OK,12510,
01552000,OK,12510,
01552500,OK,12510,
01557500,OK,12510,
01567500,OK,12510,
01568000,OK,12510,
01580000,OK,12510,
01583500,OK,12510,
01586610,OK,11415,
01591400,OK,12510,
01594950,OK,9954,
01596500,OK,12510,
01605500,OK,12510,
01606500,OK,12510,
01613050,OK,12510,
01620500,OK,12510,
01632000,OK,12510,
01632900,OK,12510,
01634500,OK,12510,
01638480,OK,12510,
01639500,OK,12510,
01644000,OK,12510,
01658500,OK,12510,
01664000,OK,12510,
01666500,OK,12510,
01667500,OK,12510,
01669000,OK,12510,
01669520,OK,12145,
02011400,OK,12510,
02011460,OK,12510,
02013000,OK,12510,
02014000,OK,12510,
02015700,OK,12510,
02016000,OK,12510,
02017500,OK,12510,
02018000,OK,12510,
02027000,OK,12510,
02027500,OK,12510,
02028500,OK,12510,
02038850,OK,12510,
02046000,OK,12510,
02051000,OK,12510,
02051500,OK,12510,
02053200,OK,12510,
02053800,OK,12510,
02055100,OK,12510,
02056900,OK,12510,
02059500,OK,12510,
02064000,OK,12510,
02065500,OK,12510,
02069700,OK,12510,
02070000,OK,12510,
02074500,OK,12510,
02077200,OK,12510,
02081500,OK,12510,
02082950,OK,12510,
02092500,OK,12510,
02096846,OK,9223,
02102908,OK,12510,
02108000,OK,12510,
02111180,OK,12510,
02111500,OK,12510,
02112120,OK,12510,
02112360,OK,12510,
02118500,OK,12510,
02125000,OK,11049,
02128000,OK,12510,
02137727,OK,12145,
02140991,OK,10684,
02143000,OK,12510,
02143040,OK,12510,
02149000,OK,12510,
02152100,OK,12510,
02177000,OK,12510,
02178400,OK,12510,
02193340,OK,10319,
02196000,OK,11049,
02198100,OK,10319,
02202600,OK,12510,
02212600,OK,12510,
02215100,OK,10319,
02216180,OK,11415,
02221525,OK,12510,
02231000,OK,12510,
02231342,OK,12510,
02235200,OK,12145,
02245500,OK,12510,
02246000,OK,12510,
02296500,OK,12510,
02297155,OK,12510,
02297310,OK,12510,
02298123,OK,12510,
02298608,OK,12510,
02299950,OK,12510,
02300700,OK,12510,
02310947,OK,12510,
02312200,OK,12510,
02314500,OK,12510,
02315500,OK,12510,
02324400,OK,12510,
02327100,OK,12510,
02342933,OK,11414,
02349900,OK,12510,
02350900,OK,10684,
02361000,OK,12510,
02363000,OK,9588,
02369800,OK,12510,
02371500,OK,12510,
02372250,OK,12510,
02374500,OK,12510,
02381600,OK,12510,
02384540,OK,10684,
02395120,OK,12510,
02408540,OK,12510,
02415000,OK,10319,
02422500,OK,12510,
02427250,OK,8858,
02430085,OK,12510,
02430615,OK,11414,
02450250,OK,12510,
02464000,OK,12510,
02464146,OK,12145,
02464360,OK,9954,
02465493,OK,12510,
02469800,OK,12510,
