gauge_id,huc_02,status,n_points_window,info
01013500,01,OK,12784,
01022500,01,OK,12784,
01030500,01,OK,12784,
01031500,01,OK,12784,
01047000,01,OK,12784,
01052500,01,OK,12784,
01054200,01,OK,12784,
01055000,01,OK,12784,
01057000,01,OK,12784,
01073000,01,OK,12784,
01078000,01,OK,12784,
01118300,01,OK,12784,
01121000,01,OK,12784,
01123000,01,OK,12784,
01134500,01,OK,12784,
01137500,01,OK,12784,
01139000,01,OK,12784,
01139800,01,OK,12784,
01142500,01,OK,12784,
01144000,01,OK,12784,
01162500,01,OK,12784,
01169000,01,OK,12784,
01170100,01,OK,12784,
01181000,01,OK,12784,
01187300,01,OK,12784,
01195100,01,OK,12111,
01333000,02,OK,12784,
01350000,02,OK,12784,
01350080,02,OK,10394,
01350140,02,OK,12784,
01365000,02,OK,12784,
01411300,02,OK,12784,
01413500,02,OK,12784,
01414500,02,OK,12784,
01415000,02,OK,12784,
01423000,02,OK,12784,
01434025,02,OK,11530,
01435000,02,OK,12784,
01439500,02,OK,12784,
01440000,02,OK,12784,
01440400,02,OK,12784,
01451800,02,OK,12784,
01466500,02,OK,12784,
01484100,02,OK,12784,
01485500,02,OK,12784,
01486000,02,OK,12784,
01487000,02,OK,12784,
01491000,02,OK,12784,
01510000,02,OK,12784,
01516500,02,OK,12784,
01518862,02,OK,11476,
01532000,02,OK,12784,
01539000,02,OK,12784,
01542810,02,OK,12784,
01543000,02,OK,12784,
01543500,02,OK,12784,
01544500,02,OK,12784,
01545600,02,OK,12784,
01547700,02,OK,12784,
01548500,02,OK,12784,
01549500,02,OK,12784,
01550000,02,OK,12784,
01552000,02,OK,12784,
01552500,02,OK,12784,
01557500,02,OK,12784,
01567500,02,OK,12784,
01568000,02,OK,12784,
01580000,02,OK,12784,
01583500,02,OK,12784,
01586610,02,OK,11780,
01591400,02,OK,12784,
01594950,02,OK,10319,
01596500,02,OK,12784,
01605500,02,OK,12784,
01606500,02,OK,12784,
01613050,02,OK,12784,
01620500,02,OK,12784,
01632000,02,OK,12784,
01632900,02,OK,12784,
01634500,02,OK,12784,
01638480,02,OK,12784,
01639500,02,OK,12784,
01644000,02,OK,12784,
01658500,02,OK,12784,
01664000,02,OK,12784,
01666500,02,OK,12784,
01667500,02,OK,12784,
01669000,02,OK,12784,
01669520,02,OK,12193,
02011400,02,OK,12784,
02011460,02,OK,12784,
02013000,02,OK,12784,
02014000,02,OK,12784,
02015700,02,OK,12784,
02016000,02,OK,12784,
02017500,02,OK,12784,
02018000,02,OK,12784,
02027000,02,OK,12784,
02027500,02,OK,12784,
02028500,02,OK,12784,
02038850,02,OK,12784,
02046000,03,OK,12784,
02051000,03,OK,12784,
02051500,03,OK,12784,
02053200,03,OK,12784,
02053800,03,OK,12784,
02055100,03,OK,12784,
02056900,03,OK,12784,
02059500,03,OK,12784,
02064000,03,OK,12784,
02065500,03,OK,12784,
02069700,03,OK,12784,
02070000,03,OK,12784,
02074500,03,OK,12784,
02077200,03,OK,12784,
02081500,03,OK,12784,
02082950,03,OK,12784,
02092500,03,OK,12784,
02096846,03,OK,9557,
02102908,03,OK,12784,
02108000,03,OK,12784,
02111180,03,OK,12784,
02111500,03,OK,12784,
02112120,03,OK,12705,
02112360,03,OK,12692,
02118500,03,OK,12784,
02125000,03,OK,11231,
02128000,03,OK,12784,
02137727,03,OK,12510,
02140991,03,OK,10837,
02143000,03,OK,12784,
02143040,03,OK,12784,
02149000,03,OK,12784,
02152100,03,OK,12784,
02177000,03,OK,12784,
02178400,03,OK,12784,
02193340,03,OK,10487,
02196000,03,OK,11369,
02198100,03,OK,10435,
02202600,03,OK,12740,
02212600,03,OK,12784,
02215100,03,OK,10502,
02216180,03,OK,11688,
02221525,03,OK,12784,
02231000,03,OK,12784,
02231342,03,OK,12784,
02235200,03,OK,12449,
02245500,03,OK,12784,
02246000,03,OK,12784,
02296500,03,OK,12784,
02297155,03,OK,12784,
02297310,03,OK,12784,
02298123,03,OK,12784,
02298608,03,OK,12784,
02299950,03,OK,12784,
02300700,03,OK,12784,
02310947,03,OK,12784,
02312200,03,OK,12784,
02314500,03,OK,12784,
02315500,03,OK,12784,
02324400,03,OK,12784,
02327100,03,OK,12784,
02342933,03,OK,11602,
02349900,03,OK,12784,
02350900,03,OK,10892,
02361000,03,OK,12784,
02363000,03,OK,9954,
02369800,03,OK,12784,
02371500,03,OK,12784,
02372250,03,OK,12784,
02374500,03,OK,12784,
02381600,03,OK,12784,
02384540,03,OK,10928,
02395120,03,OK,12662,
02408540,03,OK,12516,
02415000,03,OK,10684,
02422500,03,OK,12784,
02427250,03,OK,9223,
02430085,03,OK,12784,
02430615,03,OK,11596,
02450250,03,OK,12784,
02464000,03,OK,12784,
02464146,03,OK,12383,
02464360,03,OK,10319,
02465493,03,OK,12784,
02469800,03,OK,12784,
02472000,03,OK,12784,
02472500,03,OK,12784,
02479155,03,OK,12784,
02479300,03,OK,12784,
02479560,03,OK,12784,
02481000,03,OK,12784,
02481510,03,OK,12784,
03010655,05,OK,12784,
03011800,05,OK,12784,
03015500,05,OK,12784,
03021350,05,OK,12784,
03026500,05,OK,12784,
03028000,05,OK,12784,
03049000,05,OK,12784,
03049800,05,OK,12784,
03050000,05,OK,9661,
03066000,05,OK,12784,
03069500,05,OK,12784,
03070500,05,OK,12784,
03076600,05,OK,12784,
03078000,05,OK,12784,
03140000,05,OK,12784,
03144000,05,OK,12784,
03159540,05,OK,12784,
03161000,05,OK,12784,
03164000,05,OK,12784,
03165000,05,OK,12784,
03170000,05,OK,12784,
03173000,05,OK,12784,
03180500,05,OK,12340,
03182500,05,OK,12784,
03186500,05,OK,12784,
03187500,05,OK,12784,
03213700,05,OK,12784,
03237280,05,OK,12784,
03237500,05,OK,12784,
03238500,05,OK,11704,
03241500,05,OK,12784,
