Year,mi_lag1,mi_peak,mi_pct_change
2000,0.020982343372104584,0.0632162458445431,201.28305844325888
1988,0.02375242440198222,0.058120463939700606,144.69276464616496
2001,0.013703735571419129,0.03326641080334669,142.75432512524534
1981,0.02120986144649395,0.05069138350695779,138.99912611327886
1982,0.018501270535230985,0.04371716439968365,136.29276873950565
2012,0.024999538147939315,0.057490373438320974,129.96574215936002
2004,0.009092052084795466,0.02040532539726625,124.43036189145728
1994,0.043145514592837,0.0904529376101253,109.64621343313925
1993,0.026385994306025395,0.04654605951267432,76.40441733152825
1997,0.013876879336653047,0.022835971267644695,64.56128725806506
2008,0.020831604440973095,0.03281432139636187,57.52181493913309
2006,0.021092036805224312,0.03213834370263058,52.37193069315237
1987,0.016927715238692187,0.02536640995971906,49.85135088838389
1989,0.015911642091781086,0.023791094704462612,49.52004681371972
1985,0.03481571187738708,0.04931587657417036,41.648336095638435
2003,0.02535790440234842,0.03539986558718411,39.60091112223649
2011,0.048935008766447075,0.06803804937513358,39.03757471437249
1986,0.056752798672635496,0.07819983128555075,37.790264294501426
2007,0.03117493859704301,0.04255972711627898,36.51904071533867
2009,0.03930558054549915,0.051116322761894706,30.048512329499204
2014,0.046566751060066025,0.05740177442783878,23.267724548351588
1995,0.026198414868412456,0.03166368186421997,20.861059813191265
1983,0.037898462638916275,0.04187010404281932,10.479690012081765
1991,0.03996961654719011,0.04408091828968952,10.286067512420091
1992,0.01671757530544493,0.018283318019750805,9.365848131073824
2013,0.025408629246922887,0.026928187697101036,5.98048180958906
1999,0.09176677250016474,0.09142393853556818,-0.37359270164583885
1996,0.029747741899972757,0.02929539317915464,-1.5206153204473412
1984,0.044308081521893916,0.04137258393139165,-6.625196780528067
2002,0.03667356600105909,0.030718468752009898,-16.238118891621323
2010,0.03181005020463945,0.026476150096153228,-16.767971361793954
1998,0.03585112409812008,0.02690366780634501,-24.95725452648846
2005,0.059385389954951684,0.04154038332245569,-30.049489691038122
1980,0.04354052951672882,0.02612887387383278,-39.98953580986254
1990,0.03296203911784312,0.017632555348882972,-46.50647890488651
