gauge_id,huc_02,dominant_forcing,dominant_lag,rank1_TE,rank2_forcing,rank2_TE,margin,plateau_width,is_robust,region
01013500,1,Tair,14,0.0048878833883407,SRAD,0.0030632665038131,0.3732938655778788,2,True,Northeast
01022500,1,PRCP,1,0.0166805733564089,Tair,0.0083002251135609,0.5024016899052308,1,True,Northeast
01030500,1,PRCP,1,0.0134275816762943,Tair,0.0074603722373123,0.4443994147893957,1,True,Northeast
01031500,1,PRCP,1,0.0038589515480295,VP,0.0015973129392197,0.5860759277904546,1,True,Northeast
01047000,1,PRCP,1,0.0022771925556681,Tair,0.0015412782745708,0.3231673488768243,1,True,Northeast
01052500,1,Tair,1,0.0066120198948291,SRAD,0.0054710882352533,0.17255417825770006,1,False,Northeast
01054200,1,Tair,12,0.0037378576441534,VP,0.003327869905504,0.10968522016633929,1,False,Northeast
01055000,1,SRAD,2,0.0035159246617638,VP,0.003184383862478,0.09429690086689155,1,False,Northeast
01057000,1,PRCP,1,0.0022553647421092,Tair,0.0017499583378014,0.22409076229290875,1,True,Northeast
01073000,1,PRCP,1,0.0056891769999337,Tair,0.0028506196732101,0.498939886517273,1,True,Northeast
01078000,1,PRCP,1,0.0040309908767237,VP,0.003792717325043,0.05911041700852548,1,False,Northeast
01118300,1,PRCP,1,0.0041191367215902,Tair,0.0019076214283969,0.5368880526838984,1,True,Northeast
01121000,1,Tair,25,0.0030093761529104,VP,0.0028231668629654,0.06187637586112822,2,False,Northeast
01123000,1,PRCP,1,0.0053248579832909,Tair,0.0026990401657905,0.49312447876357757,1,True,Northeast
01134500,1,PRCP,1,0.0077420425534474,Tair,0.0064513537251381,0.16671166806420853,1,False,Northeast
01137500,1,SRAD,2,0.0051557637757875,Tair,0.0046173946421107,0.10442083017943711,2,False,Northeast
01139000,1,SRAD,2,0.0075702468642309,Tair,0.0067175282241053,0.11264079698043399,1,False,Northeast
01139800,1,SRAD,1,0.008486919008784,Tair,0.0066271408224465,0.21913466882535598,1,True,Northeast
01142500,1,Tair,13,0.0029607460051645,SRAD,0.0029503376175203,0.003515461179731225,7,False,Northeast
01144000,1,Tair,13,0.0042858177017838,VP,0.003629315863565,0.15318006595230535,3,False,Northeast
01162500,1,PRCP,1,0.0083302631617389,Tair,0.0041888416343064,0.49715374496860415,1,True,Northeast
01169000,1,Tair,25,0.0022491391373722,SRAD,0.0018934375937199,0.15815008406633596,4,False,Northeast
01170100,1,Tair,26,0.0032015516533556,VP,0.0027230456508276,0.14946065356355248,3,False,Northeast
01181000,1,Tair,25,0.0016477936514809,VP,0.0014107365856269,0.1438633202894992,1,False,Northeast
01187300,1,Tair,12,0.0017901054111375,VP,0.0016219220513133,0.09395165154957555,3,False,Northeast
01195100,1,PRCP,1,0.0032261253695324,SRAD,0.0017636702290642,0.4533162766331585,1,True,Northeast
01333000,2,Tair,23,0.0067962756707259,VP,0.0062615024504876,0.07868621670862595,4,False,Northeast
01350000,2,Tair,24,0.0014534942848165,SRAD,0.0012702598372992,0.12606478706617893,1,False,Northeast
01350080,2,SRAD,26,0.0026037850446072,Tair,0.0021164762669349,0.18715399671012936,1,False,Northeast
01350140,2,Tair,27,0.0045376971505355,VP,0.0037121929520026,0.1819213956214511,4,False,Northeast
01365000,2,PRCP,1,0.00229053603036,Tair,0.0021401165656507,0.06566998410658428,1,False,Northeast
01411300,2,PRCP,1,0.0094984241843267,SRAD,0.0034262761417212,0.6392795188727326,1,True,Northeast
01413500,2,Tair,25,0.0021778773547274,VP,0.0018257984107079,0.1616615110374611,8,False,Northeast
01414500,2,Tair,24,0.0028737186597897,VP,0.0026862382834794,0.06523964190844608,7,False,Northeast
01415000,2,Tair,23,0.0023859164299531,VP,0.0021859887444086,0.08379492384334264,4,False,Northeast
01423000,2,Tair,11,0.0033443844142257,VP,0.0031413653618251,0.06070446074830289,7,False,Northeast
01434025,2,Tair,12,0.0027830004744889,VP,0.0020469528387142,0.2644798815242299,5,False,Northeast
01435000,2,Tair,24,0.0026938610507066,VP,0.002192267380195,0.18619879090646935,6,False,Northeast
01439500,2,PRCP,1,0.0050558685996535,Tair,0.0035051198777791,0.3067225129190817,1,True,Northeast
01440000,2,PRCP,1,0.0045639024212082,SRAD,0.0024902173510137,0.4543666535371574,1,True,Northeast
01440400,2,PRCP,1,0.0025880487028968,Tair,0.0020460802377703,0.2094120039239893,1,True,Northeast
01451800,2,VP,24,0.0050530089765948,Tair,0.0045498552152693,0.09957507767274405,1,False,Northeast
01466500,2,PRCP,1,0.0050857771556291,VP,0.0020911415453268,0.5888255656242708,1,True,Northeast
01484100,2,PRCP,1,0.0030044620157695,SRAD,0.0016558559770796,0.44886772793647595,1,True,Northeast
01485500,2,PRCP,1,0.0106199484803114,SRAD,0.0029891880435809,0.7185308338244171,1,True,Northeast
01486000,2,PRCP,1,0.0039940576517083,Tair,0.0029542817329892,0.260330723637496,1,True,Northeast
01487000,2,PRCP,1,0.0105096962607444,SRAD,0.0050074745696715,0.5235376508096323,1,True,Northeast
01491000,2,PRCP,1,0.005742055028134,SRAD,0.0020038278926264,0.6510260032674077,1,True,Northeast
01510000,2,Tair,14,0.0036509548364904,VP,0.0030440426332127,0.166233829356573,9,False,Northeast
01516500,2,Tair,19,0.0023843683775613,VP,0.0021257974082035,0.10844422019313256,8,False,Northeast
01518862,2,Tair,28,0.002357168015853,VP,0.0022207992424778,0.05785280152202125,1,False,Northeast
01532000,2,Tair,30,0.001417329725877,VP,0.0012836726679052,0.09430202128096703,3,False,Northeast
01539000,2,SRAD,8,0.0015153822326296,Tair,0.0013882674187413,0.08388300400468687,1,False,Northeast
01542810,2,VP,1,0.0043341120982658,Tair,0.0037758003375574,0.12881802501873366,2,False,Northeast
01543000,2,VP,1,0.0028918581500748,Tair,0.0026351587532701,0.08876624767990798,1,False,Northeast
01543500,2,VP,1,0.0030004073216606,Tair,0.0027772069559556,0.07439002167927915,1,False,Northeast
01544500,2,VP,1,0.0034342903127549,Tair,0.0032768991715295,0.045829305880417816,1,False,Northeast
01545600,2,Tair,27,0.0023957701761083,VP,0.0023833950997991,0.005165385408254062,4,False,Northeast
01547700,2,SRAD,2,0.0014260044841049,Tair,0.001415821503253,0.007140917833993928,2,False,Northeast
01548500,2,Tair,24,0.0029262607892917,VP,0.0025193436095827,0.13905704549576187,5,False,Northeast
01549500,2,Tair,12,0.0035109099239535,SRAD,0.0032070979454024,0.08653368646068516,5,False,Northeast
01550000,2,Tair,12,0.0022914590517488,PRCP,0.0021589403315013,0.05783158994107448,5,False,Northeast
01552000,2,Tair,30,0.0020656087406477,SRAD,0.0016741292879737,0.18952255815457397,3,False,Northeast
01552500,2,Tair,11,0.0024732597689942,VP,0.0021404510386345,0.13456278815995273,3,False,Northeast
01557500,2,Tair,1,0.003921884181639,VP,0.0032560349963224,0.16977788085479215,3,False,Northeast
01567500,2,SRAD,24,0.0020579565203967,Tair,0.0020190051633741,0.01892720115150498,3,False,Northeast
01568000,2,PRCP,1,0.0031475435976292,Tair,0.0028753732484317,0.0864707162126379,1,False,Northeast
01580000,2,Tair,28,0.0025486811444848,VP,0.0020553479727382,0.19356409993229048,3,False,Northeast
01583500,2,Tair,28,0.0020374005335955,PRCP,0.0019029342842928,0.06599892710610056,2,False,Northeast
01586610,2,Tair,28,0.0024567963544909,PRCP,0.0020387642419112,0.17015334291568704,2,False,Northeast
01591400,2,PRCP,1,0.0039788827130594,SRAD,0.002031535446088,0.4894206256896843,1,True,Northeast
01594950,2,Tair,27,0.0044294176421273,VP,0.0040571937312163,0.08403450317505697,11,False,Northeast
01596500,2,Tair,27,0.0052130845237307,VP,0.0043174070709853,0.17181333789393774,2,False,Northeast
01605500,2,Tair,22,0.0006110313057123,SRAD,0.0005195780620546,0.1496703078921462,7,False,Northeast
01606500,2,PRCP,1,0.0010009761606117,SRAD,0.0008233298682404,0.1774730501700857,1,False,Northeast
01613050,2,PRCP,1,0.0016925029404334,SRAD,0.0016861168935051,0.003773137863302419,1,False,Northeast
01620500,2,SRAD,3,0.0012251923274544,VP,0.0012078083408468,0.014188781808419234,1,False,Northeast
01632000,2,Tair,1,0.0012606255542178,SRAD,0.0011787841668744,0.06492125046138812,2,False,Northeast
01632900,2,Tair,25,0.0020149198557565,VP,0.0017676434132932,0.12272271860185738,1,False,Northeast
01634500,2,Tair,26,0.002554503304081,VP,0.0022583606913322,0.11592962603559422,4,False,Northeast
01638480,2,VP,19,0.002297916161278,Tair,0.0021407399485509,0.06839945485203668,2,False,Northeast
01639500,2,Tair,26,0.0032765253575972,VP,0.0029816052747556,0.09001001080543326,4,False,Northeast
01644000,2,VP,14,0.0023782006236587,Tair,0.0021284078100217,0.10503437395147536,1,False,Northeast
01658500,2,Tair,29,0.0025053562100001,SRAD,0.0020546681402064,0.1798898168630808,2,False,Northeast
01664000,2,PRCP,1,0.0045382292137187,Tair,0.0024921487772734,0.4508543619304561,1,True,Northeast
01666500,2,VP,16,0.0017168730509984,SRAD,0.0015830376412408,0.07795300280342315,2,False,Northeast
01667500,2,PRCP,1,0.0020805922308813,SRAD,0.0014563823978432,0.3000154589511738,1,True,Northeast
01669000,2,PRCP,1,0.0042756908047618,SRAD,0.0018830141508971,0.5596000185981636,1,True,Northeast
01669520,2,PRCP,1,0.0040272695775053,SRAD,0.0014842750429856,0.6314438320006784,1,True,Northeast
02011400,2,Tair,25,0.0017352547119028,VP,0.0015140282867789,0.1274893095557789,1,False,Northeast
02011460,2,Tair,26,0.0017569856016411,VP,0.0015139470637388,0.13832699464087334,2,False,Northeast
02013000,2,Tair,26,0.0031690067124011,VP,0.0027824216451816,0.12198934944085092,2,False,Northeast
02014000,2,PRCP,1,0.0033618342953,SRAD,0.0033035498107455,0.017337108088874058,1,False,Northeast
02015700,2,Tair,26,0.0017352229164735,VP,0.001659675654881,0.04353749646531586,2,False,Northeast
02016000,2,PRCP,1,0.0035080844409542,VP,0.0025266047060642,0.2797765422724651,1,True,Northeast
02017500,2,PRCP,1,0.0030282692457939,Tair,0.0030044338397628,0.007870966580731265,1,False,Northeast
02018000,2,PRCP,1,0.0073005083945968,SRAD,0.0047351963751592,0.3513881336450788,1,True,Northeast
02027000,2,SRAD,14,0.0021443352964885,VP,0.0021197708346156,0.011455513469897033,1,False,Northeast
02027500,2,PRCP,1,0.0012198693336711,SRAD,0.0010895350570656,0.10684281751166684,1,False,Northeast
02028500,2,SRAD,3,0.0023924071363724,Tair,0.0022257334908874,0.06966775970152256,1,False,Northeast
02038850,2,PRCP,1,0.0011033538448819,SRAD,0.0010123792052093,0.08245282335725915,1,False,Northeast
02046000,3,PRCP,1,0.0043703891399769,VP,0.001897296985032,0.5658745882198425,1,True,Rest of CONUS
02051000,3,Tair,5,0.002333649611315,VP,0.0023112011749992,0.009619454526058996,1,False,Rest of CONUS
02051500,3,PRCP,1,0.0204718277512,SRAD,0.0094005546267135,0.5408053085947605,1,True,Rest of CONUS
02053200,3,PRCP,2,0.0023865396602685,SRAD,0.0013268360954731,0.4440335027477302,2,True,Rest of CONUS
02053800,3,PRCP,1,0.0035207799651377,SRAD,0.0031085805592057,0.11707616210429062,1,False,Rest of CONUS
02055100,3,PRCP,1,0.0007534623618023,SRAD,0.0004452858074867,0.40901386710071924,1,True,Rest of CONUS
02056900,3,SRAD,1,0.003345186627123,PRCP,0.0027329931658891,0.1830072667008153,1,False,Rest of CONUS
02059500,3,PRCP,1,0.0017540710330473,SRAD,0.0011775696472503,0.3286647889027959,1,True,Rest of CONUS
02064000,3,SRAD,1,0.0007030748016181,Tair,0.0006654356312578,0.05353508655647289,1,False,Rest of CONUS
02065500,3,PRCP,1,0.0051584008261317,SRAD,0.0026665017245228,0.48307589611596397,1,True,Rest of CONUS
02069700,3,SRAD,1,0.0012423510534622,PRCP,0.0011855630822938,0.045710084126497554,1,False,Rest of CONUS
02070000,3,PRCP,1,0.0019336740426326,SRAD,0.0013404021069432,0.3068107253907644,1,True,Rest of CONUS
02074500,3,VP,8,0.0017288825847246,Tair,0.0015189670995481,0.12141685446495389,2,False,Rest of CONUS
02077200,3,SRAD,1,0.0012715014686051,PRCP,0.0010512991031335,0.173182942299841,1,False,Rest of CONUS
02081500,3,PRCP,1,0.0061775368428859,SRAD,0.0042835129074415,0.3065985656767993,1,True,Rest of CONUS
02082950,3,PRCP,1,0.0029583082708213,SRAD,0.000784720443289,0.7347401381293025,1,True,Rest of CONUS
02092500,3,PRCP,1,0.0027285357887122,VP,0.0016514737720317,0.3947399264969312,1,True,Rest of CONUS
02096846,3,VP,28,0.003013567955356,Tair,0.0027500041987943,0.0874590387428528,1,False,Rest of CONUS
02102908,3,PRCP,1,0.0026908245085456,SRAD,0.0017579461476546,0.3466886665883774,1,True,Rest of CONUS
02108000,3,PRCP,2,0.0032431657225722,SRAD,0.0016484087980845,0.49172847177938106,1,True,Rest of CONUS
02111180,3,PRCP,1,0.001803296630412,SRAD,0.001427245400004,0.20853542565655628,1,True,Rest of CONUS
02111500,3,SRAD,1,0.002729924562836,VP,0.0020598290351184,0.24546302005556772,1,True,Rest of CONUS
02112120,3,PRCP,1,0.002342812920724,SRAD,0.0021532004272086,0.08093368951405817,1,False,Rest of CONUS
02112360,3,PRCP,1,0.0031223926448013,VP,0.0028800815507784,0.07760429951894149,1,False,Rest of CONUS
02118500,3,PRCP,1,0.0024069849968561,SRAD,0.0022903104595974,0.04847331304976775,1,False,Rest of CONUS
02125000,3,SRAD,1,0.0041201492075916,PRCP,0.0028333309013042,0.3123232294394502,1,True,Rest of CONUS
02128000,3,PRCP,1,0.0035838394998161,SRAD,0.0028396226240156,0.207659097411781,1,True,Rest of CONUS
02137727,3,SRAD,1,0.0013531103782447,VP,0.0011993099614814,0.11366435380003134,1,False,Rest of CONUS
02140991,3,SRAD,1,0.0024285857095374,VP,0.0019112530198904,0.21301809016472473,1,True,Rest of CONUS
02143000,3,PRCP,1,0.0048301189237432,SRAD,0.0033643398583013,0.3034664546739493,1,True,Rest of CONUS
02143040,3,PRCP,1,0.003100190655061,SRAD,0.0028738935028367,0.07299459207609514,1,False,Rest of CONUS
02149000,3,PRCP,1,0.0026794899639438,SRAD,0.0021362191799627,0.20275156514543843,1,True,Rest of CONUS
02152100,3,SRAD,1,0.0019357240566843,VP,0.001429308498297,0.2616155730661005,1,True,Rest of CONUS
02177000,3,SRAD,1,0.0020888963354493,PRCP,0.0018113975969995,0.13284466717689608,1,False,Rest of CONUS
02178400,3,SRAD,1,0.0039898214800073,PRCP,0.002786754012018,0.3015341598659944,1,True,Rest of CONUS
02193340,3,Tair,28,0.0035597313725988,VP,0.0033417976368658,0.06122196113183004,1,False,Rest of CONUS
