Year,mi_lag1,mi_peak,mi_pct_change
1998,0.02655170718118982,0.07241367284923195,172.72699399356281
1987,0.017181040048267926,0.03959386410429655,130.450915620141
1983,0.036962875429690456,0.08185604022750281,121.45474148299591
2013,0.059632068023503404,0.13135542353224894,120.27648526372833
1986,0.0500567511067227,0.10150035257533685,102.77055608130587
2001,0.04989838777070177,0.09768964517979661,95.77715742783148
2003,0.04508125340959768,0.08441183659394547,87.24376588867074
1990,0.05792968921162478,0.0972133634871939,67.81267914637118
2010,0.05355766311641341,0.08809209215675606,64.48083622558048
1994,0.038257604681627866,0.06188287073618359,61.753123989754364
1995,0.04173074437569446,0.06562708838211462,57.26316260090073
1981,0.04532758934911141,0.070599611466855,55.75417197481962
2005,0.010368332831090843,0.01601963369589421,54.5053959673939
2002,0.17335672421624526,0.2521645755820785,45.45993339579276
2004,0.03222194471279183,0.045698310154736355,41.823563295341785
2014,0.05837062140767646,0.08129928901634287,39.28117785234166
1992,0.04005702828576019,0.05572521241408812,39.11469422183221
2011,0.04769495076719532,0.06608735939009125,38.56259064543634
1980,0.032619664142122584,0.04430727070053231,35.82994143498009
1993,0.03419757535024526,0.04582544525225085,34.002030210958225
1982,0.05412847665285159,0.07158261317009496,32.24575601708505
1999,0.02978707776649836,0.037601901973775,26.235618910110077
2009,0.038098149313691154,0.04776580448828027,25.37565563877639
1984,0.05143300538819662,0.06440583126186716,25.22276459591779
1989,0.03753603900138547,0.04594550177919521,22.403703218390582
1985,0.031344613640839736,0.03806087814125192,21.427172710980184
1991,0.03154495040008909,0.03780527208614326,19.845717322911025
1996,0.039900465156749165,0.04725170723502692,18.42395082212291
2007,0.022506554712993454,0.025535114812434312,13.45634699784776
1988,0.03389957707747637,0.03821559407377495,12.731772394783752
2000,0.0489805413810096,0.05486010774570671,12.003881947651754
2008,0.020444058039442714,0.021654303743619874,5.919791960295911
1997,0.059280162890427146,0.05191965607850868,-12.416475348631467
2012,0.13021657462807879,0.10980021830400721,-15.678769298289593
2006,0.03180147009845502,0.0251154334115109,-21.024300657311247
