attribute,median_robust,median_fragile,diff_median,median_effect,abs_median_effect
elev_mean,240.19,484.06,-243.87,-0.8035884191926057,0.8035884191926057
slope_mean,17.14893,41.97128,-24.82235,-0.7925437379387089,0.7925437379387089
frac_snow,0.0849686144296571,0.17165610201543252,-0.08668748758577542,-0.7531773815622728,0.7531773815622728
low_prec_dur,4.01612903225806,3.447793018552715,0.5683360137053448,0.695383533011264,0.695383533011264
high_prec_dur,1.20845070422535,1.170159337271335,0.03829136695401503,0.6087256005670926,0.6087256005670926
soil_depth_statsgo,1.50000001490116,1.28314081779582,0.21685919710534018,0.5811072451858091,0.5811072451858091
high_prec_freq,21.1,19.424999999999997,1.6750000000000043,0.5571725571725586,0.5571725571725586
low_prec_freq,243.8,231.02499999999998,12.775000000000034,0.5172064777327952,0.5172064777327952
geol_permeability,-14.1,-14.92455,0.8245500000000003,0.49212909771855773,0.49212909771855773
lai_diff,3.66554296378545,4.20305391231223,-0.5375109485267799,-0.47274186942050067,0.47274186942050067
soil_depth_pelletier,9.08510638297872,1.0675324675324651,8.017573915446256,0.4141119717325666,0.4141119717325666
gvf_max,0.85271196998103,0.8767183054555855,-0.02400633547455544,-0.3951277221990957,0.3951277221990957
glim_1st_class_frac,0.872262609579569,0.9898367490447995,-0.11757413946523043,-0.39489614753808894,0.39489614753808894
frac_forest,0.9063,0.98085,-0.07455,-0.3901354091711911,0.3901354091711911
runoff_ratio,0.395171115918893,0.463635893331234,-0.06846477741234103,-0.38829502997162196,0.38829502997162196
silt_frac,39.7374784646608,45.67245599233985,-5.934977527679045,-0.3853799046921652,0.3853799046921652
aridity,0.751675602029157,0.689932396906746,0.06174320512241094,0.37781927387559566,0.37781927387559566
p_seasonality,0.100530522771781,0.1325361717178195,-0.03200564894603851,-0.3735148385640665,0.3735148385640665
soil_porosity,0.440099538005506,0.4512505624983565,-0.011151024492850492,-0.3730632246622413,0.3730632246622413
hfd_mean,169.15,164.35,4.800000000000011,0.3728155339805834,0.3728155339805834
soil_conductivity,1.64019378630426,1.2620785959132501,0.3781151903910098,0.36730735169929823,0.36730735169929823
low_q_dur,14.045045045045,12.3895348837209,1.6555101613241003,0.36332395073617013,0.36332395073617013
gauge_lat,39.30694,40.445634999999996,-1.1386949999999985,-0.3501177620898307,0.3501177620898307
gvf_diff,0.458742009036353,0.48485363943257,-0.026111630396217,-0.3251198373652517,0.3251198373652517
q_mean,1.36646493358281,1.59941790172491,-0.23295296814209987,-0.3218579487603519,0.3218579487603519
sand_frac,38.6826186354798,33.0007886998564,5.681829935623398,0.2923499369318029,0.2923499369318029
glim_2nd_class_frac,0.072551286798189,0.010163250955200851,0.062388035842988146,0.2904736503591561,0.2904736503591561
pet_mean,2.51269378507871,2.4288775633128,0.08381622176591019,0.28222414813849356,0.28222414813849356
baseflow_index,0.517895405408521,0.4917567102799265,0.026138695128594458,0.23679099680099278,0.23679099680099278
gauge_lon,-76.69635,-78.11764500000001,1.4212950000000149,0.2252425291974036,0.2252425291974036
geol_porostiy,0.1337,0.16035,-0.02664999999999998,-0.21763985300122482,0.21763985300122482
q95,4.94590743709326,5.45854356814401,-0.5126361310507495,-0.2083680337441872,0.2083680337441872
p_mean,3.33903901437372,3.422978097193705,-0.08393908281998508,-0.18862562922955028,0.18862562922955028
high_q_freq,7.25,8.9,-1.6500000000000004,-0.1823204419889503,0.1823204419889503
stream_elas,1.62412645964061,1.55128482652518,0.07284163311543002,0.12992655664720093,0.12992655664720093
dom_land_cover_frac,0.970437566611511,0.948976276914951,0.021461289696560026,0.12442725733591257,0.12442725733591257
lai_max,4.68519971859885,4.795954710955515,-0.1107549923566653,-0.11107972400739924,0.11107972400739924
area_gages2,292.04,232.95499999999998,59.085000000000036,0.11056686923692308,0.11056686923692308
area_geospa_fabric,291.8,237.09,54.71000000000001,0.10160929360089893,0.10160929360089893
other_frac,0.358472313043415,0.0,0.358472313043415,0.0953729614001166,0.0953729614001166
high_q_dur,1.97959183673469,1.92424242424242,0.05534941249226999,0.0934030234437252,0.0934030234437252
max_water_content,0.561180826371744,0.544619316447565,0.01656150992417904,0.09071547154605065,0.09071547154605065
q5,0.100530429210333,0.0951646814861424,0.0053657477241906,0.04737266737027452,0.04737266737027452
low_q_freq,82.95,84.6,-1.6499999999999915,-0.034736842105262976,0.034736842105262976
root_depth_99,1.99672831228935,1.98690131221321,0.009827000076140013,0.02818410962520542,0.02818410962520542
clay_frac,16.2757317233653,16.37126674252005,-0.09553501915474882,-0.011431056608570763,0.011431056608570763
root_depth_50,0.189937927611806,0.1898557275361705,8.220007563550236e-05,0.004319564466434173,0.004319564466434173
slope_fdc,1.66776481160079,1.667859602496,-9.479089521002848e-05,-0.00029288969751815343,0.00029288969751815343
carbonate_rocks_frac,0.0,0.0,0.0,0.0,0.0
zero_q_freq,0.0,0.0,0.0,,
water_frac,0.0,0.0,0.0,,
organic_frac,0.0,0.0,0.0,,
