attribute,forcing_peak_te,high_prec_timing,count,mean,median,std,low_prec_timing,geol_1st_class,geol_2nd_class,dom_land_cover
high_prec_timing,PRCP_peak_te,djf,214,0.008161280965183365,0.0053085367306818995,0.006974791141729249,,,,
high_prec_timing,PRCP_peak_te,jja,236,0.004321715970087795,0.00323579763030585,0.0034395298497765666,,,,
high_prec_timing,PRCP_peak_te,mam,124,0.0033535408525667823,0.0027246596625579,0.0025761528429977137,,,,
high_prec_timing,PRCP_peak_te,son,97,0.0030945362151133245,0.0022553647421092,0.002615825956173,,,,
high_prec_timing,SRAD_peak_te,djf,214,0.006046344962120989,0.0049563495811115,0.003982328962855306,,,,
high_prec_timing,SRAD_peak_te,mam,124,0.0036736815669433727,0.00269617013304175,0.0028887137484650246,,,,
high_prec_timing,SRAD_peak_te,jja,236,0.0027596520744719065,0.00244782490231125,0.0014243474476242338,,,,
high_prec_timing,SRAD_peak_te,son,97,0.002661924988029163,0.0020579565203967,0.0023736443115283563,,,,
high_prec_timing,Tair_peak_te,djf,214,0.004183189918647775,0.00352881006971315,0.0025496814806502577,,,,
high_prec_timing,Tair_peak_te,mam,124,0.0030159232162093024,0.00237055613717495,0.0024688222586502543,,,,
high_prec_timing,Tair_peak_te,son,97,0.0027527436115533364,0.0021401165656507,0.0021713132220625977,,,,
high_prec_timing,Tair_peak_te,jja,236,0.0025687975135075865,0.00228279927510675,0.0015847740127291213,,,,
high_prec_timing,VP_peak_te,djf,214,0.0031667866037829945,0.0029384393072427,0.001790393016981231,,,,
high_prec_timing,VP_peak_te,mam,124,0.0028837663815379205,0.0023945480997269,0.0021660772108850397,,,,
high_prec_timing,VP_peak_te,son,97,0.0024989583051476154,0.001897296985032,0.0018866452184926818,,,,
high_prec_timing,VP_peak_te,jja,236,0.002374999200964211,0.002239579966905,0.0011999198041670318,,,,
low_prec_timing,PRCP_peak_te,,234,0.007284690021703057,0.0043136925814741,0.006978179077423637,jja,,,
low_prec_timing,PRCP_peak_te,,64,0.005421840951372848,0.004661420455326051,0.0028668173430195444,mam,,,
low_prec_timing,PRCP_peak_te,,130,0.004029847583664127,0.0029770409417139,0.003301767268446083,djf,,,
low_prec_timing,PRCP_peak_te,,243,0.00373231564704329,0.0027329931658891,0.003236625657346707,son,,,
low_prec_timing,SRAD_peak_te,,234,0.0062522666977020925,0.0053039867677341,0.004178278284798808,jja,,,
low_prec_timing,SRAD_peak_te,,64,0.003698420176605756,0.0035465412138021,0.001502785750765764,mam,,,
low_prec_timing,SRAD_peak_te,,243,0.002736655077781259,0.0024285857095374,0.001496055945738287,son,,,
low_prec_timing,SRAD_peak_te,,130,0.0022630959011012645,0.0021734320905839,0.0010550081194291706,djf,,,
low_prec_timing,Tair_peak_te,,234,0.00468197077452497,0.0040073439974915,0.002867454650584338,jja,,,
low_prec_timing,Tair_peak_te,,64,0.00285512358085765,0.00242417383391635,0.0017685874016031059,mam,,,
low_prec_timing,Tair_peak_te,,243,0.002512348066753206,0.002357168015853,0.0013031118533461724,son,,,
low_prec_timing,Tair_peak_te,,130,0.0019509216482636932,0.0018624423358738502,0.0010366494149730867,djf,,,
low_prec_timing,VP_peak_te,,234,0.0036340628216505444,0.0032808709470954,0.0022678127427089687,jja,,,
low_prec_timing,VP_peak_te,,64,0.0025710877435808546,0.002445336858826,0.0013564771060414259,mam,,,
low_prec_timing,VP_peak_te,,243,0.0023602600253707956,0.0022583606913322,0.0010890683819515365,son,,,
low_prec_timing,VP_peak_te,,130,0.0019208817655894607,0.00174868217419195,0.0009071305669644849,djf,,,
geol_1st_class,PRCP_peak_te,,40,0.010838625812493277,0.01125653722347185,0.006604841295308821,,Basic volcanic rocks,,
geol_1st_class,PRCP_peak_te,,4,0.005773871098874251,0.0055313897489314,0.00406803264738273,,Intermediate volcanic rocks,,
geol_1st_class,PRCP_peak_te,,229,0.0055361587970929015,0.0032405173232831,0.006015983454465964,,Siliciclastic sedimentary rocks,,
geol_1st_class,PRCP_peak_te,,1,0.0053609215315547,0.0053609215315547,,,Basic plutonic rocks,,
geol_1st_class,PRCP_peak_te,,42,0.0053112967210453875,0.00369225145216415,0.0053067372500320105,,Acid plutonic rocks,,
geol_1st_class,PRCP_peak_te,,125,0.005159645504936153,0.0040272695775053,0.004206610165688264,,Unconsolidated sediments,,
geol_1st_class,PRCP_peak_te,,81,0.004131149415330453,0.0030973391301424,0.0034275818706520837,,Carbonate sedimentary rocks,,
geol_1st_class,PRCP_peak_te,,4,0.004082313787074776,0.0026934159489627003,0.0037479976751673156,,Intermediate plutonic rocks,,
geol_1st_class,PRCP_peak_te,,106,0.003805562141341346,0.0026903571656191998,0.003254907118373992,,Metamorphics,,
