forcing,lag_column,attribute,n,pearson_r,spearman_r,abs_pearson_r,abs_spearman_r,rank_within_forcing
PRCP,PRCP_peak_lag,hfd_mean,670,0.23409539510164296,0.23216689363447018,0.23409539510164296,0.23216689363447018,1.0
PRCP,PRCP_peak_lag,p_mean,671,-0.2134352671252323,-0.21915551973364078,0.2134352671252323,0.21915551973364078,2.0
PRCP,PRCP_peak_lag,high_q_dur,670,0.17318081817001507,0.2187030114279741,0.17318081817001507,0.2187030114279741,3.0
PRCP,PRCP_peak_lag,aridity,671,0.25768904077838306,0.21541105248598294,0.25768904077838306,0.21541105248598294,4.0
PRCP,PRCP_peak_lag,root_depth_50,647,-0.2136576712548179,-0.20772915081115176,0.2136576712548179,0.20772915081115176,5.0
PRCP,PRCP_peak_lag,frac_snow,671,0.28320672604423464,0.2043989342497241,0.28320672604423464,0.2043989342497241,6.0
PRCP,PRCP_peak_lag,gvf_max,671,-0.1971720022809803,-0.19946587105245517,0.1971720022809803,0.19946587105245517,7.0
PRCP,PRCP_peak_lag,elev_mean,671,0.34082606758099304,0.18344566568514803,0.34082606758099304,0.18344566568514803,8.0
PRCP,PRCP_peak_lag,lai_max,671,-0.18243026647653793,-0.17139734480438312,0.18243026647653793,0.17139734480438312,9.0
PRCP,PRCP_peak_lag,root_depth_99,647,-0.13180753516799903,-0.15367200045883073,0.13180753516799903,0.15367200045883073,10.0
PRCP,PRCP_peak_lag,q_mean,670,-0.13304629521441597,-0.1487880432303481,0.13304629521441597,0.1487880432303481,11.0
PRCP,PRCP_peak_lag,lai_diff,671,-0.15386991340975203,-0.14522660660744574,0.15386991340975203,0.14522660660744574,12.0
PRCP,PRCP_peak_lag,frac_forest,671,-0.10077552749999658,-0.1345714353890248,0.10077552749999658,0.1345714353890248,13.0
PRCP,PRCP_peak_lag,slope_fdc,670,-0.15711716402931913,-0.12982318078884728,0.15711716402931913,0.12982318078884728,14.0
PRCP,PRCP_peak_lag,q95,670,-0.12190535025022713,-0.11217911612934735,0.12190535025022713,0.11217911612934735,15.0
PRCP,PRCP_peak_lag,clay_frac,671,-0.06308708423709142,-0.09011759203306231,0.06308708423709142,0.09011759203306231,16.0
PRCP,PRCP_peak_lag,low_prec_freq,671,0.10324987880014402,0.08636232295296929,0.10324987880014402,0.08636232295296929,17.0
PRCP,PRCP_peak_lag,pet_mean,671,0.11834688979898397,0.08516997669040652,0.11834688979898397,0.08516997669040652,18.0
PRCP,PRCP_peak_lag,other_frac,671,0.07191352287112895,0.08017177782829286,0.07191352287112895,0.08017177782829286,19.0
PRCP,PRCP_peak_lag,runoff_ratio,670,-0.07813143095464038,-0.07735953558042208,0.07813143095464038,0.07735953558042208,20.0
PRCP,PRCP_peak_lag,high_q_freq,670,0.020004927710027362,0.07729708372327618,0.020004927710027362,0.07729708372327618,21.0
PRCP,PRCP_peak_lag,soil_depth_pelletier,671,-0.08302679856195641,-0.07484766141776944,0.08302679856195641,0.07484766141776944,22.0
PRCP,PRCP_peak_lag,low_prec_dur,671,0.0309808918229101,0.07112372577587713,0.0309808918229101,0.07112372577587713,23.0
