gauge_id,PRCP_peak_te,SRAD_peak_te,Tair_peak_te,VP_peak_te,PRCP_peak_lag,SRAD_peak_lag,Tair_peak_lag,VP_peak_lag
01013500,0.0027614217385353,0.0030632665038131,0.0048878833883407,0.0026846556337543,1,13,14,22
01022500,0.0166805733564089,0.0047753980402072,0.0083002251135609,0.0061919504793522,1,1,1,1
01030500,0.0134275816762943,0.0040720228727942,0.0074603722373123,0.0059494066838827,1,5,2,2
01031500,0.0038589515480295,0.0014806788693391,0.0013509524246606,0.0015973129392197,1,1,6,1
01047000,0.0022771925556681,0.0013893350946952,0.0015412782745708,0.0013299539963271,1,3,17,1
01052500,0.0036150187896995,0.0054710882352533,0.0066120198948291,0.0043856872052815,1,2,1,1
01054200,0.0021149152665537,0.0028884334131273,0.0037378576441534,0.003327869905504,1,2,12,1
01055000,0.0031355322927631,0.0035159246617638,0.0027139308321711,0.003184383862478,1,2,12,1
01057000,0.0022553647421092,0.0014729518740313,0.0017499583378014,0.0011845067508131,1,3,17,1
01073000,0.0056891769999337,0.0025077205156804,0.0028506196732101,0.0019599539807941,1,1,1,1
01078000,0.0040309908767237,0.0033151853652574,0.0033623920009349,0.003792717325043,1,2,1,1
01118300,0.0041191367215902,0.0014043736566376,0.0019076214283969,0.0016508527538713,1,30,26,16
01121000,0.0025163572351848,0.0021921050536729,0.0030093761529104,0.0028231668629654,1,25,25,18
01123000,0.0053248579832909,0.0020367159833917,0.0026990401657905,0.002488766931581,1,23,25,21
01134500,0.0077420425534474,0.0040084618552425,0.0064513537251381,0.0062391948330044,1,2,1,1
01137500,0.0042416258211395,0.0051557637757875,0.0046173946421107,0.0035872724749064,1,2,8,1
01139000,0.0061410539578434,0.0075702468642309,0.0067175282241053,0.0048811063457987,1,2,1,23
01139800,0.0052555189134645,0.008486919008784,0.0066271408224465,0.0060024138880259,1,1,19,27
01142500,0.0024649027488251,0.0029503376175203,0.0029607460051645,0.0024418687494694,1,2,13,11
01144000,0.0024660354135466,0.0035960133502033,0.0042858177017838,0.003629315863565,1,2,13,1
01162500,0.0083302631617389,0.0025960303220403,0.0041888416343064,0.0040922900790916,1,10,1,30
01169000,0.0009122436550094,0.0018934375937199,0.0022491391373722,0.0018730049023066,2,4,25,26
01170100,0.001146237742249,0.0022026855494247,0.0032015516533556,0.0027230456508276,2,3,26,20
01181000,0.0006664348392192,0.0013100827772133,0.0016477936514809,0.0014107365856269,5,3,25,21
01187300,0.0010926525933692,0.0015477747407687,0.0017901054111375,0.0016219220513133,1,16,12,8
01195100,0.0032261253695324,0.0017636702290642,0.0013513863566265,0.0013026955420649,1,1,3,20
01333000,0.002316625609478,0.0031122796361615,0.0067962756707259,0.0062615024504876,1,1,23,21
01350000,0.0006725207741023,0.0012702598372992,0.0014534942848165,0.0010813493268576,9,12,24,13
01350080,0.0011173922809831,0.0026037850446072,0.0021164762669349,0.0015446704105401,12,26,13,28
01350140,0.0023521381090225,0.0026273501448168,0.0045376971505355,0.0037121929520026,1,26,27,30
01365000,0.00229053603036,0.0018455518651029,0.0021401165656507,0.0018488316799959,1,10,1,14
01411300,0.0094984241843267,0.0034262761417212,0.0015135359715714,0.0012647838723277,1,1,28,4
01413500,0.0011784784693166,0.0014439335580371,0.0021778773547274,0.0018257984107079,9,27,25,28
01414500,0.0021327783072487,0.0021707270230729,0.0028737186597897,0.0026862382834794,1,27,24,11
01415000,0.0013168174013687,0.0020790492898737,0.0023859164299531,0.0021859887444086,1,29,23,30
01423000,0.0021481855645947,0.0021773322987349,0.0033443844142257,0.0031413653618251,1,29,11,24
01434025,0.0016908901286924,0.0016030234808475,0.0027830004744889,0.0020469528387142,1,10,12,27
01435000,0.0018645710621857,0.0018844087917632,0.0026938610507066,0.002192267380195,1,9,24,27
01439500,0.0050558685996535,0.0025956268148081,0.0035051198777791,0.0029179671418481,1,1,13,26
01440000,0.0045639024212082,0.0024902173510137,0.002384307254026,0.002016387537162,1,1,1,25
01440400,0.0025880487028968,0.0015254251438003,0.0020460802377703,0.0015137051897125,1,2,14,9
01451800,0.0034313423727826,0.0039089271730992,0.0045498552152693,0.0050530089765948,2,1,27,24
01466500,0.0050857771556291,0.0016666219887661,0.001897614907423,0.0020911415453268,1,1,24,30
01484100,0.0030044620157695,0.0016558559770796,0.0013813045960237,0.0011883906192709,1,1,29,30
01485500,0.0106199484803114,0.0029891880435809,0.0017052835758782,0.001706571777213,1,1,2,17
01486000,0.0039940576517083,0.0024658622121761,0.0029542817329892,0.0026750736573273,1,1,17,28
01487000,0.0105096962607444,0.0050074745696715,0.0041694894114866,0.0040080220988887,1,1,7,16
01491000,0.005742055028134,0.0020038278926264,0.0016784479559185,0.0014553810332838,1,1,23,29
01510000,0.0017555879453234,0.0019500592691575,0.0036509548364904,0.0030440426332127,1,3,14,9
01516500,0.0010756996397244,0.0016272849554311,0.0023843683775613,0.0021257974082035,9,16,19,30
01518862,0.0017873541250994,0.0020157950199749,0.002357168015853,0.0022207992424778,1,1,28,3
01532000,0.0006554222582066,0.0010371442101772,0.001417329725877,0.0012836726679052,26,24,30,28
01539000,0.0011752912130433,0.0015153822326296,0.0013882674187413,0.0013282031514602,1,8,30,17
01542810,0.002361625783767,0.003000937692776,0.0037758003375574,0.0043341120982658,1,23,21,1
01543000,0.0021459057440014,0.0022213318010947,0.0026351587532701,0.0028918581500748,1,26,8,1
01543500,0.0026584622185856,0.0022605463007238,0.0027772069559556,0.0030004073216606,1,1,1,1
01544500,0.0032553991853733,0.0025159157475025,0.0032768991715295,0.0034342903127549,1,1,30,1
01545600,0.0023027774308176,0.0019770186736592,0.0023957701761083,0.0023833950997991,1,30,27,27
01547700,0.0009105646575445,0.0014260044841049,0.001415821503253,0.0009291288084341,1,2,8,30
01548500,0.001691136163643,0.0023867261440712,0.0029262607892917,0.0025193436095827,1,1,24,21
01549500,0.001701060256437,0.0032070979454024,0.0035109099239535,0.0030033277813552,1,2,12,18
01550000,0.0021589403315013,0.0019316115446364,0.0022914590517488,0.00183833279213,1,12,12,11
01552000,0.0010543510080626,0.0016741292879737,0.0020656087406477,0.0013535374237925,1,13,30,19
01552500,0.0012455369377428,0.0020199757440367,0.0024732597689942,0.0021404510386345,1,14,11,10
01557500,0.0025661125572298,0.0032314762567587,0.003921884181639,0.0032560349963224,1,12,1,20
01567500,0.0015735696099446,0.0020579565203967,0.0020190051633741,0.0017512811723041,1,24,13,16
01568000,0.0031475435976292,0.0027971054981537,0.0028753732484317,0.0027230402917205,1,1,27,5
01580000,0.0018428224039257,0.0020349370366724,0.0025486811444848,0.0020553479727382,1,11,28,16
01583500,0.0019029342842928,0.0017710162524819,0.0020374005335955,0.001332429715146,1,11,28,15
01586610,0.0020387642419112,0.0018699355494762,0.0024567963544909,0.00196835572348,1,19,28,17
01591400,0.0039788827130594,0.002031535446088,0.0019723528829628,0.0016673348349216,1,4,27,25
01594950,0.0025535414531303,0.002742251600525,0.0044294176421273,0.0040571937312163,1,7,27,17
01596500,0.0018614836996266,0.0023844773165094,0.0052130845237307,0.0043174070709853,1,5,27,28
