attribute,PRCP_spearman,SRAD_spearman,Tair_spearman,VP_spearman,PRCP_abs,SRAD_abs,Tair_abs,VP_abs
p_mean,0.34448719252364957,0.2006873234424005,0.1930976504532903,0.24166803040365553,0.34448719252364957,0.2006873234424005,0.1930976504532903,0.24166803040365553
pet_mean,-0.12188277528686141,-0.08303525750002384,-0.33100295838245436,-0.2541748226082701,0.12188277528686141,0.08303525750002384,0.33100295838245436,0.2541748226082701
p_seasonality,-0.24402651422470364,-0.45685873644339514,-0.3832514164328453,-0.2680839468825767,0.24402651422470364,0.45685873644339514,0.3832514164328453,0.2680839468825767
frac_snow,-0.14635626614887895,0.25529617348662287,0.4611412196627666,0.3124324767188057,0.14635626614887895,0.25529617348662287,0.4611412196627666,0.3124324767188057
aridity,-0.2760322562194351,-0.16458774892834105,-0.3028828737936886,-0.31372847546385596,0.2760322562194351,0.16458774892834105,0.3028828737936886,0.31372847546385596
high_prec_freq,-0.18821394427407395,-0.3262038331416768,-0.49198259549827844,-0.47038916362857236,0.18821394427407395,0.3262038331416768,0.49198259549827844,0.47038916362857236
high_prec_dur,0.22663500240840795,0.2881552893723617,0.05730510745394193,-0.06713899045118259,0.22663500240840795,0.2881552893723617,0.05730510745394193,0.06713899045118259
low_prec_freq,-0.22362171797035157,-0.3118604739080879,-0.5042259026899538,-0.4999579508467731,0.22362171797035157,0.3118604739080879,0.5042259026899538,0.4999579508467731
low_prec_dur,0.063306326673527,0.06786766946220506,-0.20332178728048259,-0.2670497470107324,0.063306326673527,0.06786766946220506,0.20332178728048259,0.2670497470107324
glim_1st_class_frac,-0.14542351398326533,-0.21416421372809585,-0.16132956519953429,-0.0958252376652735,0.14542351398326533,0.21416421372809585,0.16132956519953429,0.0958252376652735
glim_2nd_class_frac,0.15341627439970723,0.17558163507281374,0.12131062907607892,0.07594797959825546,0.15341627439970723,0.17558163507281374,0.12131062907607892,0.07594797959825546
carbonate_rocks_frac,-0.11985816534883262,-0.11244331143363558,-0.08608304891116515,-0.020353648636680124,0.11985816534883262,0.11244331143363558,0.08608304891116515,0.020353648636680124
geol_porostiy,0.047351355343208126,-0.0858919618723859,-0.12746828490565545,-0.08315484043427042,0.047351355343208126,0.0858919618723859,0.12746828490565545,0.08315484043427042
geol_permeability,0.08825592900593986,0.05174580672163189,-0.11331803481727837,-0.07966183251102077,0.08825592900593986,0.05174580672163189,0.11331803481727837,0.07966183251102077
q_mean,0.2767489731842415,0.3533835171445839,0.4471181680232362,0.42838529013922716,0.2767489731842415,0.3533835171445839,0.4471181680232362,0.42838529013922716
runoff_ratio,0.23081509576016385,0.4278297019443891,0.5553458307095839,0.4988138840392678,0.23081509576016385,0.4278297019443891,0.5553458307095839,0.4988138840392678
slope_fdc,0.2009306454625533,0.10497153357607299,0.24155379220247628,0.23933343357864967,0.2009306454625533,0.10497153357607299,0.24155379220247628,0.23933343357864967
baseflow_index,0.02138797708286331,0.21888026336276886,0.22432852503503348,0.17355083746691283,0.02138797708286331,0.21888026336276886,0.22432852503503348,0.17355083746691283
stream_elas,-0.12343783212478769,-0.2587932803951878,-0.4285570935695305,-0.36176382195203766,0.12343783212478769,0.2587932803951878,0.4285570935695305,0.36176382195203766
q5,0.1804337500428208,0.3122736056304641,0.36484871987007633,0.3363878200960184,0.1804337500428208,0.3122736056304641,0.36484871987007633,0.3363878200960184
q95,0.30512171520948117,0.4317631067693882,0.511109639295586,0.4929722881186617,0.30512171520948117,0.4317631067693882,0.511109639295586,0.4929722881186617
high_q_freq,-0.026059068404268595,0.0526338883520332,-0.05595416484380431,-0.05420681784565044,0.026059068404268595,0.0526338883520332,0.05595416484380431,0.05420681784565044
high_q_dur,-0.046558794690138634,0.15667435624792214,0.015543923150092669,-0.0333387326278305,0.046558794690138634,0.15667435624792214,0.015543923150092669,0.0333387326278305
low_q_freq,0.010558322600978113,-0.08366630465075447,-0.13617704095386024,-0.11841519553684102,0.010558322600978113,0.08366630465075447,0.13617704095386024,0.11841519553684102
low_q_dur,0.09369639617833582,0.01626646390542847,-0.08146484763708614,-0.107211131236458,0.09369639617833582,0.01626646390542847,0.08146484763708614,0.107211131236458
zero_q_freq,-0.13363063739029463,-0.226201662463129,-0.2931601419025676,-0.29858556163266836,0.13363063739029463,0.226201662463129,0.2931601419025676,0.29858556163266836
hfd_mean,-0.2376828116306632,-0.016055008786857315,-0.05305552708071464,0.0033939212388361104,0.2376828116306632,0.016055008786857315,0.05305552708071464,0.0033939212388361104
soil_depth_pelletier,0.15977356795013078,-0.23990049443896055,-0.2556899019572909,-0.15901555452558933,0.15977356795013078,0.23990049443896055,0.2556899019572909,0.15901555452558933
