gauge_id,dominant_forcing,peak_lag,peak_TE,PRCP,SRAD,Tair,VP
1013500,Tair,14,0.0048878833883407,0.0027614217385353,0.0030632665038131,0.0048878833883407,0.0026846556337543
1022500,PRCP,1,0.0166805733564089,0.0166805733564089,0.0047753980402072,0.0083002251135609,0.0061919504793522
1030500,PRCP,1,0.0134275816762943,0.0134275816762943,0.0040720228727942,0.0074603722373123,0.0059494066838827
1031500,PRCP,1,0.0038589515480295,0.0038589515480295,0.0014806788693391,0.0013509524246606,0.0015973129392197
1047000,PRCP,1,0.0022771925556681,0.0022771925556681,0.0013893350946952,0.0015412782745708,0.0013299539963271
1052500,Tair,1,0.0066120198948291,0.0036150187896995,0.0054710882352533,0.0066120198948291,0.0043856872052815
1054200,Tair,12,0.0037378576441534,0.0021149152665537,0.0028884334131273,0.0037378576441534,0.003327869905504
1055000,SRAD,2,0.0035159246617638,0.0031355322927631,0.0035159246617638,0.0027139308321711,0.003184383862478
1057000,PRCP,1,0.0022553647421092,0.0022553647421092,0.0014729518740313,0.0017499583378014,0.0011845067508131
1073000,PRCP,1,0.0056891769999337,0.0056891769999337,0.0025077205156804,0.0028506196732101,0.0019599539807941
1078000,PRCP,1,0.0040309908767237,0.0040309908767237,0.0033151853652574,0.0033623920009349,0.003792717325043
1118300,PRCP,1,0.0041191367215902,0.0041191367215902,0.0014043736566376,0.0019076214283969,0.0016508527538713
1121000,Tair,25,0.0030093761529104,0.0025163572351848,0.0021921050536729,0.0030093761529104,0.0028231668629654
1123000,PRCP,1,0.0053248579832909,0.0053248579832909,0.0020367159833917,0.0026990401657905,0.002488766931581
1134500,PRCP,1,0.0077420425534474,0.0077420425534474,0.0040084618552425,0.0064513537251381,0.0062391948330044
1137500,SRAD,2,0.0051557637757875,0.0042416258211395,0.0051557637757875,0.0046173946421107,0.0035872724749064
1139000,SRAD,2,0.0075702468642309,0.0061410539578434,0.0075702468642309,0.0067175282241053,0.0048811063457987
1139800,SRAD,1,0.008486919008784,0.0052555189134645,0.008486919008784,0.0066271408224465,0.0060024138880259
1142500,Tair,13,0.0029607460051645,0.0024649027488251,0.0029503376175203,0.0029607460051645,0.0024418687494694
1144000,Tair,13,0.0042858177017838,0.0024660354135466,0.0035960133502033,0.0042858177017838,0.003629315863565
1162500,PRCP,1,0.0083302631617389,0.0083302631617389,0.0025960303220403,0.0041888416343064,0.0040922900790916
1169000,Tair,25,0.0022491391373722,0.0009122436550094,0.0018934375937199,0.0022491391373722,0.0018730049023066
1170100,Tair,26,0.0032015516533556,0.001146237742249,0.0022026855494247,0.0032015516533556,0.0027230456508276
1181000,Tair,25,0.0016477936514809,0.0006664348392192,0.0013100827772133,0.0016477936514809,0.0014107365856269
1187300,Tair,12,0.0017901054111375,0.0010926525933692,0.0015477747407687,0.0017901054111375,0.0016219220513133
1195100,PRCP,1,0.0032261253695324,0.0032261253695324,0.0017636702290642,0.0013513863566265,0.0013026955420649
1333000,Tair,23,0.0067962756707259,0.002316625609478,0.0031122796361615,0.0067962756707259,0.0062615024504876
1350000,Tair,24,0.0014534942848165,0.0006725207741023,0.0012702598372992,0.0014534942848165,0.0010813493268576
1350080,SRAD,26,0.0026037850446072,0.0011173922809831,0.0026037850446072,0.0021164762669349,0.0015446704105401
1350140,Tair,27,0.0045376971505355,0.0023521381090225,0.0026273501448168,0.0045376971505355,0.0037121929520026
1365000,PRCP,1,0.00229053603036,0.00229053603036,0.0018455518651029,0.0021401165656507,0.0018488316799959
1411300,PRCP,1,0.0094984241843267,0.0094984241843267,0.0034262761417212,0.0015135359715714,0.0012647838723277
1413500,Tair,25,0.0021778773547274,0.0011784784693166,0.0014439335580371,0.0021778773547274,0.0018257984107079
1414500,Tair,24,0.0028737186597897,0.0021327783072487,0.0021707270230729,0.0028737186597897,0.0026862382834794
1415000,Tair,23,0.0023859164299531,0.0013168174013687,0.0020790492898737,0.0023859164299531,0.0021859887444086
