gauge_id,Source,Target,Bins,Lag,TE_obs,thr95,p_value,sig
01013500,PET,Q,5,1,0.002973893365713687,0.0016484067066880658,0.0,1
01013500,PET,Q,5,2,0.003436081456396012,0.001693947533989312,0.0,1
01013500,PET,Q,5,3,0.0033386846598861264,0.0016004491315955937,0.0,1
01013500,PET,Q,5,4,0.0032623461656244856,0.0015947295433028086,0.0,1
01013500,PET,Q,5,5,0.0033634520946472235,0.0017429144439804944,0.0,1
01013500,PET,Q,5,6,0.0032805612590625643,0.0016364378871047635,0.0,1
01013500,PET,Q,5,7,0.0031775472250279435,0.0017206789201081646,0.0,1
01013500,PET,Q,5,8,0.004105827701059328,0.0016723065108144135,0.0,1
01013500,PET,Q,5,9,0.0032148588334516837,0.00165607144908349,0.0,1
01013500,PET,Q,5,10,0.0026697312392123806,0.0016574970707405156,0.0,1
01013500,PET,Q,5,11,0.0033680310966926474,0.0016853165730033365,0.0,1
01013500,PET,Q,5,12,0.0035550950961967254,0.0016059822870016886,0.0,1
01013500,PET,Q,5,13,0.0039553378089811075,0.0016486546119423597,0.0,1
01013500,PET,Q,5,14,0.003425775468805181,0.001754425429375672,0.0,1
01013500,PET,Q,5,15,0.0034826872367471617,0.0016130168227293264,0.0,1
01013500,PET,Q,5,16,0.0032890940856266093,0.0015984956280971907,0.0,1
01013500,PET,Q,5,17,0.0035873992512651665,0.0016397309682045108,0.0,1
01013500,PET,Q,5,18,0.0027987634546972617,0.0017348923473273212,0.0,1
01013500,PET,Q,5,19,0.0029329851870672496,0.0015817536554548566,0.0,1
01013500,PET,Q,5,20,0.002841203597755082,0.0016128576926812683,0.0,1
01013500,PET,Q,5,21,0.0033720905987581484,0.0017584302492067176,0.0,1
01013500,PET,Q,5,22,0.0027767802351847948,0.0015779838861834593,0.0,1
01013500,PET,Q,5,23,0.0024508059308175345,0.0016716378896169002,0.0,1
01013500,PET,Q,5,24,0.002149847025818441,0.0016664718003775337,0.0,1
01013500,PET,Q,5,25,0.0022628003527662144,0.0016600953152481833,0.0,1
