gauge_id,Source,Target,Bins,Lag,TE_nats
01013500,PET,Q,5,1,0.002973893365713687
01013500,PET,Q,5,2,0.003436081456396012
01013500,PET,Q,5,3,0.0033386846598861264
01013500,PET,Q,5,4,0.0032623461656244856
01013500,PET,Q,5,5,0.0033634520946472235
01013500,PET,Q,5,6,0.0032805612590625643
01013500,PET,Q,5,7,0.0031775472250279435
01013500,PET,Q,5,8,0.004105827701059328
01013500,PET,Q,5,9,0.0032148588334516837
01013500,PET,Q,5,10,0.0026697312392123806
01013500,PET,Q,5,11,0.0033680310966926474
01013500,PET,Q,5,12,0.0035550950961967254
01013500,PET,Q,5,13,0.0039553378089811075
01013500,PET,Q,5,14,0.003425775468805181
01013500,PET,Q,5,15,0.0034826872367471617
01013500,PET,Q,5,16,0.0032890940856266093
01013500,PET,Q,5,17,0.0035873992512651665
01013500,PET,Q,5,18,0.0027987634546972617
01013500,PET,Q,5,19,0.0029329851870672496
01013500,PET,Q,5,20,0.002841203597755082
01013500,PET,Q,5,21,0.0033720905987581484
01013500,PET,Q,5,22,0.0027767802351847948
01013500,PET,Q,5,23,0.0024508059308175345
01013500,PET,Q,5,24,0.002149847025818441
01013500,PET,Q,5,25,0.0022628003527662144
01013500,PET,Q,5,26,0.0016813445120117954
01013500,PET,Q,5,27,0.0020062736793775016
01013500,PET,Q,5,28,0.0018292175712638081
01013500,PET,Q,5,29,0.002212444091442778
01013500,PET,Q,5,30,0.0021388381417095648
01022500,PET,Q,5,1,0.004458670660062114
01022500,PET,Q,5,2,0.0030887937889712003
01022500,PET,Q,5,3,0.00335594072506068
01022500,PET,Q,5,4,0.0027195764106277
01022500,PET,Q,5,5,0.003648738169089505
01022500,PET,Q,5,6,0.003408566537618507
01022500,PET,Q,5,7,0.003466663960976335
01022500,PET,Q,5,8,0.0033096494758196315
01022500,PET,Q,5,9,0.004125527838120369
01022500,PET,Q,5,10,0.004277685800983866
01022500,PET,Q,5,11,0.0039005629738863012
01022500,PET,Q,5,12,0.003385279512902073
01022500,PET,Q,5,13,0.004021363087820862
01022500,PET,Q,5,14,0.0038524216588043947
01022500,PET,Q,5,15,0.004093995570721376
01022500,PET,Q,5,16,0.003742995416836925
01022500,PET,Q,5,17,0.0038248417447524496
01022500,PET,Q,5,18,0.00424507893862297
01022500,PET,Q,5,19,0.003977330310537763
01022500,PET,Q,5,20,0.004226269915481973
01022500,PET,Q,5,21,0.004045120257027024
01022500,PET,Q,5,22,0.004098729979073346
01022500,PET,Q,5,23,0.0045744483816169135
01022500,PET,Q,5,24,0.004084686936299486
01022500,PET,Q,5,25,0.004265882063147486
01022500,PET,Q,5,26,0.003861539949944759
01022500,PET,Q,5,27,0.004210327491410204
01022500,PET,Q,5,28,0.004118529052976272
01022500,PET,Q,5,29,0.004321027309361236
01022500,PET,Q,5,30,0.0041552105877696865
01030500,PET,Q,5,1,0.006698843166242807
01030500,PET,Q,5,2,0.006289653215689084
01030500,PET,Q,5,3,0.003991577427808646
01030500,PET,Q,5,4,0.0031836598668775196
01030500,PET,Q,5,5,0.0020656397736223964
01030500,PET,Q,5,6,0.0021252161970325423
01030500,PET,Q,5,7,0.0020433136112077976
01030500,PET,Q,5,8,0.00260989482375773
01030500,PET,Q,5,9,0.002625273939890649
01030500,PET,Q,5,10,0.0028938917551218912
01030500,PET,Q,5,11,0.0024993179529442244
01030500,PET,Q,5,12,0.0032196321235477
01030500,PET,Q,5,13,0.002552800047058712
01030500,PET,Q,5,14,0.003522035466768214
01030500,PET,Q,5,15,0.002812719706088429
01030500,PET,Q,5,16,0.0025162092194944696
01030500,PET,Q,5,17,0.0029949740938584046
01030500,PET,Q,5,18,0.0032001867567004183
01030500,PET,Q,5,19,0.003279492908978443
01030500,PET,Q,5,20,0.003533110961963404
01030500,PET,Q,5,21,0.003092284712505222
01030500,PET,Q,5,22,0.0030026029576022406
01030500,PET,Q,5,23,0.0032214545378147497
01030500,PET,Q,5,24,0.002650514570580409
01030500,PET,Q,5,25,0.002449540454950827
01030500,PET,Q,5,26,0.002949997084795375
01030500,PET,Q,5,27,0.002788674731324714
01030500,PET,Q,5,28,0.0029897913385735775
01030500,PET,Q,5,29,0.003184875877239479
01030500,PET,Q,5,30,0.0032265349132974963
01031500,PET,Q,5,1,0.0008816363358247342
01031500,PET,Q,5,2,0.00102571787151029
01031500,PET,Q,5,3,0.0006565901573538438
01031500,PET,Q,5,4,0.0008687023383353448
01031500,PET,Q,5,5,0.0008924456660622804
01031500,PET,Q,5,6,0.000829038177103357
01031500,PET,Q,5,7,0.0006628208992939255
01031500,PET,Q,5,8,0.0007789780522796524
01031500,PET,Q,5,9,0.0012749833466440125
01031500,PET,Q,5,10,0.0009138799580303628
01031500,PET,Q,5,11,0.001176485888862662
01031500,PET,Q,5,12,0.0008878120011744164
01031500,PET,Q,5,13,0.001420070341033669
01031500,PET,Q,5,14,0.0014429665358234728
01031500,PET,Q,5,15,0.0007062640953107019
01031500,PET,Q,5,16,0.0009957430624867036
01031500,PET,Q,5,17,0.0010310085491712362
01031500,PET,Q,5,18,0.0012920519020305082
01031500,PET,Q,5,19,0.000980062231107054
01031500,PET,Q,5,20,0.0011533618680384314
01031500,PET,Q,5,21,0.001084874656870849
01031500,PET,Q,5,22,0.0010984563957247492
01031500,PET,Q,5,23,0.0009672081573551886
01031500,PET,Q,5,24,0.0006465314031822711
01031500,PET,Q,5,25,0.0010170103873748462
01031500,PET,Q,5,26,0.000900772192955708
01031500,PET,Q,5,27,0.0008658671878504984
01031500,PET,Q,5,28,0.0008712820167106269
01031500,PET,Q,5,29,0.0007831272518686108
01031500,PET,Q,5,30,0.000545963977420641
01047000,PET,Q,5,1,0.0008768966211576898
01047000,PET,Q,5,2,0.0007627992650262594
01047000,PET,Q,5,3,0.0007954905189369171
01047000,PET,Q,5,4,0.0009855750319991766
01047000,PET,Q,5,5,0.0007963412402603037
01047000,PET,Q,5,6,0.0008428570509067604
01047000,PET,Q,5,7,0.0005286460862288164
01047000,PET,Q,5,8,0.0009595723497465222
01047000,PET,Q,5,9,0.0015873754554589573
01047000,PET,Q,5,10,0.0013894985302160753
01047000,PET,Q,5,11,0.0008915932803932325
01047000,PET,Q,5,12,0.0012510593755888574
01047000,PET,Q,5,13,0.0012551081659725946
01047000,PET,Q,5,14,0.0008571831123649828
01047000,PET,Q,5,15,0.000679405752084819
01047000,PET,Q,5,16,0.0008572747558566046
